id,phrase,partofspeech,category
100,anal leakage   ,phrase,profanity
101,anilingus,phrase,profanity
102,ar5e,phrase,profanity
103,arrse,phrase,profanity
104,arsehole,phrase,profanity
105,ass fuck   ,phrase,profanity
106,asses,phrase,profanity
107,assfucker,phrase,profanity
108,ass-fucker,phrase,profanity
109,assfukka,phrase,profanity
110,asshole,phrase,profanity
111,assholes,phrase,profanity
112,assmucus   ,phrase,profanity
113,assmunch,phrase,profanity
114,asswhole,phrase,profanity
115,autoerotic,phrase,profanity
116,b!tch,phrase,profanity
117,b00bs,phrase,profanity
118,b17ch,phrase,profanity
119,b1tch,phrase,profanity
120,ballbag,phrase,profanity
121,bang (ones) box   ,phrase,profanity
122,bangbros,phrase,profanity
123,bareback,phrase,profanity
124,beastial,phrase,profanity
125,beastiality,phrase,profanity
126,beef curtain   ,phrase,profanity
127,bellend,phrase,profanity
128,bestial,phrase,profanity
129,bestiality,phrase,profanity
130,bi+ch,phrase,profanity
131,bimbos,phrase,profanity
132,birdlock,phrase,profanity
133,bitch tit   ,phrase,profanity
134,bitcher,phrase,profanity
135,bitchers,phrase,profanity
136,bitches,phrase,profanity
137,bitchin,phrase,profanity
138,bitching,phrase,profanity
139,blow me   ,phrase,profanity
140,blow mud   ,phrase,profanity
141,blowjobs,phrase,profanity
142,blue waffle   ,phrase,profanity
143,blumpkin   ,phrase,profanity
144,boiolas,phrase,profanity
145,boobs,phrase,profanity
146,booobs,phrase,profanity
147,boooobs,phrase,profanity
148,booooobs,phrase,profanity
149,booooooobs,phrase,profanity
150,breasts,phrase,profanity
151,buceta,phrase,profanity
152,bunny fucker,phrase,profanity
153,bust a load   ,phrase,profanity
154,busty,phrase,profanity
155,butt fuck   ,phrase,profanity
156,butthole,phrase,profanity
157,buttmuch,phrase,profanity
158,c0ck,phrase,profanity
159,c0cksucker,phrase,profanity
160,carpet muncher,phrase,profanity
161,carpetmuncher,phrase,profanity
162,cawk,phrase,profanity
163,chink,phrase,profanity
164,choade   ,phrase,profanity
165,chota bags   ,phrase,profanity
166,cipa,phrase,profanity
167,cl1t,phrase,profanity
168,clit,phrase,profanity
169,clit licker   ,phrase,profanity
170,clits,phrase,profanity
171,clitty litter   ,phrase,profanity
172,clusterfuck,phrase,profanity
173,cnut,phrase,profanity
174,cock pocket   ,phrase,profanity
175,cock snot   ,phrase,profanity
176,cockface,phrase,profanity
177,cockhead,phrase,profanity
178,cockmunch,phrase,profanity
179,cockmuncher,phrase,profanity
180,cocks,phrase,profanity
181,cocksuck ,phrase,profanity
182,cocksucked ,phrase,profanity
183,cocksucker,phrase,profanity
184,cock-sucker,phrase,profanity
185,cocksucking,phrase,profanity
186,cocksucks ,phrase,profanity
187,cocksuka,phrase,profanity
188,cocksukka,phrase,profanity
189,cok,phrase,profanity
190,cokmuncher,phrase,profanity
191,coksucka,phrase,profanity
192,cop some wood   ,phrase,profanity
193,cornhole   ,phrase,profanity
194,corp whore   ,phrase,profanity
195,cox,phrase,profanity
196,cum,phrase,profanity
197,cum chugger   ,phrase,profanity
198,cum dumpster   ,phrase,profanity
199,cum freak   ,phrase,profanity
200,cum guzzler   ,phrase,profanity
201,cumdump   ,phrase,profanity
202,cummer,phrase,profanity
203,cumming,phrase,profanity
204,cums,phrase,profanity
205,cumshot,phrase,profanity
206,cunilingus,phrase,profanity
207,cunillingus,phrase,profanity
208,cunnilingus,phrase,profanity
209,cunt hair   ,phrase,profanity
210,cuntbag   ,phrase,profanity
211,cuntlick ,phrase,profanity
212,cuntlicker ,phrase,profanity
213,cuntlicking ,phrase,profanity
214,cunts,phrase,profanity
215,cuntsicle   ,phrase,profanity
216,cunt-struck   ,phrase,profanity
217,cut rope   ,phrase,profanity
218,cyalis,phrase,profanity
219,cyberfuc,phrase,profanity
220,cyberfuck ,phrase,profanity
221,cyberfucked ,phrase,profanity
222,cyberfucker,phrase,profanity
223,cyberfuckers,phrase,profanity
224,cyberfucking ,phrase,profanity
225,d1ck,phrase,profanity
226,dick hole   ,phrase,profanity
227,dick shy   ,phrase,profanity
228,dickhead,phrase,profanity
229,dildos,phrase,profanity
230,dink,phrase,profanity
231,dinks,phrase,profanity
232,dirsa,phrase,profanity
233,dirty Sanchez   ,phrase,profanity
234,dlck,phrase,profanity
235,dog-fucker,phrase,profanity
236,doggie style,phrase,profanity
237,doggiestyle,phrase,profanity
238,doggin,phrase,profanity
239,dogging,phrase,profanity
240,donkeyribber,phrase,profanity
241,doosh,phrase,profanity
242,duche,phrase,profanity
243,eat a dick   ,phrase,profanity
244,eat hair pie   ,phrase,profanity
245,ejaculate,phrase,profanity
246,ejaculated,phrase,profanity
247,ejaculates ,phrase,profanity
248,ejaculating ,phrase,profanity
249,ejaculatings,phrase,profanity
250,ejaculation,phrase,profanity
251,ejakulate,phrase,profanity
252,erotic,phrase,profanity
253,f u c k e r,phrase,profanity
254,f_u_c_k,phrase,profanity
255,f4nny,phrase,profanity
256,facial   ,phrase,profanity
257,fagging,phrase,profanity
258,faggitt,phrase,profanity
259,faggot,phrase,profanity
260,faggs,phrase,profanity
261,fagot,phrase,profanity
262,fagots,phrase,profanity
263,fags,phrase,profanity
264,fanny,phrase,profanity
265,fannyflaps,phrase,profanity
266,fannyfucker,phrase,profanity
267,fanyy,phrase,profanity
268,fatass,phrase,profanity
269,fcuk,phrase,profanity
270,fcuker,phrase,profanity
271,fcuking,phrase,profanity
272,fecker,phrase,profanity
273,fingerfuck ,phrase,profanity
274,fingerfucked ,phrase,profanity
275,fingerfucker ,phrase,profanity
276,fingerfuckers,phrase,profanity
277,fingerfucking ,phrase,profanity
278,fingerfucks ,phrase,profanity
279,fist fuck   ,phrase,profanity
280,fistfuck,phrase,profanity
281,fistfucked ,phrase,profanity
282,fistfucker ,phrase,profanity
283,fistfuckers ,phrase,profanity
284,fistfucking ,phrase,profanity
285,fistfuckings ,phrase,profanity
286,fistfucks ,phrase,profanity
287,flog the log   ,phrase,profanity
288,fook,phrase,profanity
289,fooker,phrase,profanity
290,fuck hole   ,phrase,profanity
291,fuck puppet   ,phrase,profanity
292,fuck trophy   ,phrase,profanity
293,fuck yo mama   ,phrase,profanity
294,fuck   ,phrase,profanity
295,fucka,phrase,profanity
296,fuck-ass   ,phrase,profanity
297,fuck-bitch   ,phrase,profanity
298,fucked,phrase,profanity
299,fucker,phrase,profanity
300,fuckers,phrase,profanity
301,fuckhead,phrase,profanity
302,fuckheads,phrase,profanity
303,fuckin,phrase,profanity
304,fuckings,phrase,profanity
305,fuckingshitmotherfucker,phrase,profanity
306,fuckme ,phrase,profanity
307,fuckmeat   ,phrase,profanity
308,fucks,phrase,profanity
309,fucktoy   ,phrase,profanity
310,fuckwhit,phrase,profanity
311,fuckwit,phrase,profanity
312,fuker,phrase,profanity
313,fukker,phrase,profanity
314,fukkin,phrase,profanity
315,fuks,phrase,profanity
316,fukwhit,phrase,profanity
317,fukwit,phrase,profanity
318,fux,phrase,profanity
319,fux0r,phrase,profanity
320,gangbang,phrase,profanity
321,gangbang   ,phrase,profanity
322,gang-bang   ,phrase,profanity
323,gangbanged ,phrase,profanity
324,gangbangs ,phrase,profanity
325,gassy ass   ,phrase,profanity
326,gaylord,phrase,profanity
327,gaysex,phrase,profanity
328,goatse,phrase,profanity
329,god-dam,phrase,profanity
330,goddamned,phrase,profanity
331,god-damned,phrase,profanity
332,ham flap   ,phrase,profanity
333,hardcoresex ,phrase,profanity
334,heshe,phrase,profanity
335,hoar,phrase,profanity
336,hoare,phrase,profanity
337,hoer,phrase,profanity
338,homoerotic,phrase,profanity
339,hore,phrase,profanity
340,horniest,phrase,profanity
341,horny,phrase,profanity
342,hotsex,phrase,profanity
343,how to kill,phrase,profanity
344,how to murdep,phrase,profanity
345,jackoff,phrase,profanity
346,jack-off ,phrase,profanity
347,jap,phrase,profanity
348,jerk-off ,phrase,profanity
349,jism,phrase,profanity
350,jiz ,phrase,profanity
351,jizm ,phrase,profanity
352,kawk,phrase,profanity
353,kinky Jesus   ,phrase,profanity
354,knob,phrase,profanity
355,knobead,phrase,profanity
356,knobed,phrase,profanity
357,knobhead,phrase,profanity
358,knobjocky,phrase,profanity
359,knobjokey,phrase,profanity
360,kock,phrase,profanity
361,kondum,phrase,profanity
362,kondums,phrase,profanity
363,kum,phrase,profanity
364,kummer,phrase,profanity
365,kumming,phrase,profanity
366,kums,phrase,profanity
367,kunilingus,phrase,profanity
368,kwif   ,phrase,profanity
369,l3i+ch,phrase,profanity
370,l3itch,phrase,profanity
371,LEN,phrase,profanity
372,lust,phrase,profanity
373,lusting,phrase,profanity
374,m0f0,phrase,profanity
375,m0fo,phrase,profanity
376,m45terbate,phrase,profanity
377,ma5terb8,phrase,profanity
378,ma5terbate,phrase,profanity
379,mafugly   ,phrase,profanity
380,masochist,phrase,profanity
381,masterb8,phrase,profanity
382,masterbat*,phrase,profanity
383,masterbat3,phrase,profanity
384,masterbate,phrase,profanity
385,master-bate,phrase,profanity
386,masterbation,phrase,profanity
387,masterbations,phrase,profanity
388,masturbate,phrase,profanity
389,mof0,phrase,profanity
390,mofo,phrase,profanity
391,mo-fo,phrase,profanity
392,mothafuck,phrase,profanity
393,mothafucka,phrase,profanity
394,mothafuckas,phrase,profanity
395,mothafuckaz,phrase,profanity
396,mothafucked ,phrase,profanity
397,mothafucker,phrase,profanity
398,mothafuckers,phrase,profanity
399,mothafuckin,phrase,profanity
400,mothafucking ,phrase,profanity
401,mothafuckings,phrase,profanity
402,mothafucks,phrase,profanity
403,mother fucker,phrase,profanity
404,mother fucker   ,phrase,profanity
405,motherfuck,phrase,profanity
406,motherfucked,phrase,profanity
407,motherfucker,phrase,profanity
408,motherfuckers,phrase,profanity
409,motherfuckin,phrase,profanity
410,motherfucking,phrase,profanity
411,motherfuckings,phrase,profanity
412,motherfuckka,phrase,profanity
413,motherfucks,phrase,profanity
414,muff puff   ,phrase,profanity
415,mutha,phrase,profanity
416,muthafecker,phrase,profanity
417,muthafuckker,phrase,profanity
418,muther,phrase,profanity
419,mutherfucker,phrase,profanity
420,n1gga,phrase,profanity
421,n1gger,phrase,profanity
422,nazi,phrase,profanity
423,need the dick   ,phrase,profanity
424,nigg3r,phrase,profanity
425,nigg4h,phrase,profanity
426,niggah,phrase,profanity
427,niggas,phrase,profanity
428,niggaz,phrase,profanity
429,niggers ,phrase,profanity
430,nob,phrase,profanity
431,nob jokey,phrase,profanity
432,nobhead,phrase,profanity
433,nobjocky,phrase,profanity
434,nobjokey,phrase,profanity
435,numbnuts,phrase,profanity
436,nut butter   ,phrase,profanity
437,nutsack,phrase,profanity
438,omg,phrase,profanity
439,orgasim ,phrase,profanity
440,orgasims ,phrase,profanity
441,orgasm,phrase,profanity
442,orgasms ,phrase,profanity
443,p0rn,phrase,profanity
444,pawn,phrase,profanity
445,pecker,phrase,profanity
446,penisfucker,phrase,profanity
447,phonesex,phrase,profanity
448,phuck,phrase,profanity
449,phuk,phrase,profanity
450,phuked,phrase,profanity
451,phuking,phrase,profanity
452,phukked,phrase,profanity
453,phukking,phrase,profanity
454,phuks,phrase,profanity
455,phuq,phrase,profanity
456,pigfucker,phrase,profanity
457,pimpis,phrase,profanity
458,pissed,phrase,profanity
459,pisser,phrase,profanity
460,pissers,phrase,profanity
461,pisses ,phrase,profanity
462,pissflaps,phrase,profanity
463,pissin ,phrase,profanity
464,pissing,phrase,profanity
465,pissoff ,phrase,profanity
466,porn,phrase,profanity
467,porno,phrase,profanity
468,pornography,phrase,profanity
469,pornos,phrase,profanity
470,pricks ,phrase,profanity
471,pron,phrase,profanity
472,pusse,phrase,profanity
473,pussi,phrase,profanity
474,pussies,phrase,profanity
475,pussy fart   ,phrase,profanity
476,pussy palace   ,phrase,profanity
477,pussys ,phrase,profanity
478,queaf   ,phrase,profanity
479,rectum,phrase,profanity
480,retard,phrase,profanity
481,rimjaw,phrase,profanity
482,rimming,phrase,profanity
483,s hit,phrase,profanity
484,s.o.b.,phrase,profanity
485,s_h_i_t,phrase,profanity
486,sadism,phrase,profanity
487,sadist,phrase,profanity
488,sandbar   ,phrase,profanity
489,sausage queen   ,phrase,profanity
490,schlong,phrase,profanity
491,screwing,phrase,profanity
492,scroat,phrase,profanity
493,scrote,phrase,profanity
494,semen,phrase,profanity
495,sh!+,phrase,profanity
496,sh!t,phrase,profanity
497,shag,phrase,profanity
498,shagger,phrase,profanity
499,shaggin,phrase,profanity
500,shagging,phrase,profanity
501,shemale,phrase,profanity
502,shi+,phrase,profanity
503,shit fucker   ,phrase,profanity
504,shitdick,phrase,profanity
505,shite,phrase,profanity
506,shited,phrase,profanity
507,shitey,phrase,profanity
508,shitfuck,phrase,profanity
509,shitfull,phrase,profanity
510,shithead,phrase,profanity
511,shiting,phrase,profanity
512,shitings,phrase,profanity
513,shits,phrase,profanity
514,shitted,phrase,profanity
515,shitter,phrase,profanity
516,shitters ,phrase,profanity
517,shitting,phrase,profanity
518,shittings,phrase,profanity
519,shitty ,phrase,profanity
520,skank,phrase,profanity
521,slope   ,phrase,profanity
522,slut bucket   ,phrase,profanity
523,sluts,phrase,profanity
524,smut,phrase,profanity
525,snatch,phrase,profanity
526,son-of-a-bitch,phrase,profanity
527,spac,phrase,profanity
528,t1tt1e5,phrase,profanity
529,t1tties,phrase,profanity
530,teets,phrase,profanity
531,teez,phrase,profanity
532,testical,phrase,profanity
533,testicle,phrase,profanity
534,tit wank   ,phrase,profanity
535,titfuck,phrase,profanity
536,tits,phrase,profanity
537,titt,phrase,profanity
538,tittie5,phrase,profanity
539,tittiefucker,phrase,profanity
540,titties,phrase,profanity
541,tittyfuck,phrase,profanity
542,tittywank,phrase,profanity
543,titwank,phrase,profanity
544,tw4t,phrase,profanity
545,twathead,phrase,profanity
546,twatty,phrase,profanity
547,twunt,phrase,profanity
548,twunter,phrase,profanity
549,v14gra,phrase,profanity
550,v1gra,phrase,profanity
551,viagra,phrase,profanity
552,vulva,phrase,profanity
553,w00se,phrase,profanity
554,wang,phrase,profanity
555,wanker,phrase,profanity
556,wanky,phrase,profanity
557,whoar,phrase,profanity
558,willies,phrase,profanity
559,willy,phrase,profanity
560,xrated,phrase,profanity
561,xxx,phrase,profanity
562,kill you,phrase,profanity
563,fuckn,phrase,profanity
564,mofos,phrase,profanity
565,f off,phrase,profanity
566,fuckyou,phrase,profanity
567,fu k of,phrase,profanity
568,fuckoff,phrase,profanity
569,suck me,phrase,profanity
570,f k off,phrase,profanity
571,f  k off,phrase,profanity
572,f#*k off,phrase,profanity
573,go away,phrase,profanity
574,son of a bitch,phrase,profanity
575,son of bitch,phrase,profanity
576,dingaling,phrase,profanity
577,flamin Galah,phrase,profanity
578,norks,phrase,profanity
579,god-damn,phrase,profanity
580,planning,noun,skillunigram
581,persistence,noun,skillunigram
582,thoroughness,noun,skillunigram
583,proactive,noun,skillunigram
584,dependability,noun,skillunigram
585,accounting,noun,skillunigram
586,deadline-oriented,noun,skillunigram
587,confidentiality,noun,skillunigram
588,staffing,noun,skillunigram
589,forecasting,noun,skillunigram
590,coordination,noun,skillunigram
591,audit,noun,skillunigram
592,multi-tasking,noun,skillunigram
593,teamwork,noun,skillunigram
594,persuasion,noun,skillunigram
595,professionalism,noun,skillunigram
596,creativity,noun,skillunigram
597,vision,noun,skillunigram
598,tooling,noun,skillunigram
599,judgment,noun,skillunigram
600,drafting,noun,skillunigram
601,innovation,noun,skillunigram
602,delegation,noun,skillunigram
603,promotions,noun,skillunigram
604,integrity,noun,skillunigram
605,attendance,noun,skillunigram
606,independence,noun,skillunigram
607,self-motivated,noun,skillunigram
608,sterilization,noun,skillunigram
609,flexibility,noun,skillunigram
610,nutrition,noun,skillunigram
611,cad,noun,skillunigram
612,autocad,noun,skillunigram
613,lisp,noun,skillunigram
614,packaging,noun,skillunigram
615,positioning,noun,skillunigram
616,self-development,noun,skillunigram
617,leadership,noun,skillunigram
618,self-confidence,noun,skillunigram
619,risk-taking,noun,skillunigram
620,on-call,noun,skillunigram
621,routers,noun,skillunigram
622,hubs,noun,skillunigram
623,clientbase,noun,skillunigram
624,java,noun,skillunigram
625,javascript,noun,skillunigram
626,litigation,noun,skillunigram
627,perspective,noun,skillunigram
628,teaching,noun,skillunigram
629,gcp,noun,skillunigram
630,pharmacology,noun,skillunigram
631,negotiation,noun,skillunigram
632,pricing,noun,skillunigram
633,c,noun,skillunigram
634,c#,noun,skillunigram
635,psychiatry,noun,skillunigram
636,discretion,noun,skillunigram
637,recruiting,noun,skillunigram
638,c++,noun,skillunigram
639,tax,noun,skillunigram
640,cobol,noun,skillunigram
641,mainframe,noun,skillunigram
642,patience,noun,skillunigram
643,css,noun,skillunigram
644,soap,noun,skillunigram
645,jquery,noun,skillunigram
646,html,noun,skillunigram
647,html5,noun,skillunigram
648,css3,noun,skillunigram
649,e-commerce,noun,skillunigram
650,results-driven,noun,skillunigram
651,well-organized,noun,skillunigram
652,goal-oriented,noun,skillunigram
653,ios,noun,skillunigram
654,android,noun,skillunigram
655,mssql,noun,skillunigram
656,ssis,noun,skillunigram
657,ssrs,noun,skillunigram
658,rolap,noun,skillunigram
659,independent,noun,skillunigram
660,hardworking,noun,skillunigram
661,linux,noun,skillunigram
662,multi-task,noun,skillunigram
663,mysql,noun,skillunigram
664,oracle,noun,skillunigram
665,informix,noun,skillunigram
666,db2,noun,skillunigram
667,self-motivation,noun,skillunigram
668,self-starter,noun,skillunigram
669,objective-c,noun,skillunigram
670,storyboard,noun,skillunigram
671,xcode,noun,skillunigram
672,php,noun,skillunigram
673,swift,noun,skillunigram
674,self-directed,noun,skillunigram
675,sql,noun,skillunigram
676,quickbook,noun,skillunigram
677,identifies development potential,phrase,jobngram
678,identifi develop potenti,phrase,jobngram
679,studying current business,phrase,jobngram
680,studi current busi,phrase,jobngram
681,interviewing key customer personnel,phrase,jobngram
682,interview key custom personnel,phrase,jobngram
683,identifying and evaluating additional needs,phrase,jobngram
684,identifi and evalu addit need,phrase,jobngram
685,analyzing opportunities,phrase,jobngram
686,analyz opportun,phrase,jobngram
687,initiates sales process,phrase,jobngram
688,initi sale process,phrase,jobngram
689,building relationships,phrase,jobngram
690,build relationship,phrase,jobngram
691,qualifying potential,phrase,jobngram
692,qualifi potenti,phrase,jobngram
693,scheduling appointments,phrase,jobngram
694,schedul appoint,phrase,jobngram
695,making initial presentation,phrase,jobngram
696,make initi present,phrase,jobngram
697,explaining product,phrase,jobngram
698,explain product,phrase,jobngram
699,introducing new products,phrase,jobngram
700,introduc new product,phrase,jobngram
701,develops new applications,phrase,jobngram
702,develop new applic,phrase,jobngram
703,preparing specifications,phrase,jobngram
704,prepar specif,phrase,jobngram
705,overcoming objections,phrase,jobngram
706,overcom object,phrase,jobngram
707,preparing contracts,phrase,jobngram
708,prepar contract,phrase,jobngram
709,evaluating current product results,phrase,jobngram
710,evalu current product result,phrase,jobngram
711,identifying needs,phrase,jobngram
712,identifi need,phrase,jobngram
713,monitoring competitive products,phrase,jobngram
714,monitor competit product,phrase,jobngram
715,analyzing and relaying customer reactions,phrase,jobngram
716,analyz and relay custom reaction,phrase,jobngram
717,updates job knowledge,phrase,jobngram
718,updat job knowledg,phrase,jobngram
719,reading professional publications,phrase,jobngram
720,read profession public,phrase,jobngram
721,maintaining personal networks,phrase,jobngram
722,maintain person network,phrase,jobngram
723,accepting ownership,phrase,jobngram
724,accept ownership,phrase,jobngram
725,exploring opportunities,phrase,jobngram
726,explor opportun,phrase,jobngram
727,add value,phrase,jobngram
728,add valu,phrase,jobngram
729,establishes partnerships,phrase,jobngram
730,establish partnership,phrase,jobngram
731,sales goals,phrase,jobngram
732,sale goal,phrase,jobngram
733,foster teamwork,phrase,jobngram
734,people skills,phrase,jobngram
735,peopl skill,phrase,jobngram
736,customer focus,phrase,jobngram
737,custom focu,phrase,jobngram
738,identifies market potential,phrase,jobngram
739,identifi market potenti,phrase,jobngram
740,qualifying accounts,phrase,jobngram
741,qualifi account,phrase,jobngram
742,understanding account requirements,phrase,jobngram
743,understand account requir,phrase,jobngram
744,building rapport,phrase,jobngram
745,build rapport,phrase,jobngram
746,existing accounts,phrase,jobngram
747,exist account,phrase,jobngram
748,developing new applications,phrase,jobngram
749,recommends new products,phrase,jobngram
750,recommend new product,phrase,jobngram
751,completing related results,phrase,jobngram
752,complet relat result,phrase,jobngram
753,presentation skills,phrase,jobngram
754,present skill,phrase,jobngram
755,internal communications,phrase,jobngram
756,intern commun,phrase,jobngram
757,verbal communication,phrase,jobngram
758,verbal commun,phrase,jobngram
759,closing skills,phrase,jobngram
760,close skill,phrase,jobngram
761,territory management,phrase,jobngram
762,territori manag,phrase,jobngram
763,recording data,phrase,jobngram
764,record data,phrase,jobngram
765,analyzing and auditing documents,phrase,jobngram
766,analyz and audit document,phrase,jobngram
767,researching and resolving processing problems,phrase,jobngram
768,research and resolv process problem,phrase,jobngram
769,conversion mailings,phrase,jobngram
770,convers mail,phrase,jobngram
771,coordinating requirements,phrase,jobngram
772,coordin requir,phrase,jobngram
773,developing plans,phrase,jobngram
774,develop plan,phrase,jobngram
775,provides information,phrase,jobngram
776,provid inform,phrase,jobngram
777,summarizing information,phrase,jobngram
778,summar inform,phrase,jobngram
779,investigating issues,phrase,jobngram
780,investig issu,phrase,jobngram
781,composing responses,phrase,jobngram
782,compos respons,phrase,jobngram
783,referring standard complains,phrase,jobngram
784,refer standard complain,phrase,jobngram
785,government affairs departments,phrase,jobngram
786,govern affair depart,phrase,jobngram
787,maintains quality service,phrase,jobngram
788,maintain qualiti servic,phrase,jobngram
789,advising supervisor,phrase,jobngram
790,advis supervisor,phrase,jobngram
791,collecting and analyzing information,phrase,jobngram
792,collect and analyz inform,phrase,jobngram
793,reporting skills,phrase,jobngram
794,report skill,phrase,jobngram
795,research skills,phrase,jobngram
796,research skill,phrase,jobngram
797,quality focus,phrase,jobngram
798,qualiti focu,phrase,jobngram
799,general math,phrase,jobngram
800,gener math,phrase,jobngram
801,capital account entries,phrase,jobngram
802,capit account entri,phrase,jobngram
803,compiling and analyzing account information,phrase,jobngram
804,compil and analyz account inform,phrase,jobngram
805,entering account information,phrase,jobngram
806,enter account inform,phrase,jobngram
807,analyzing accounting options,phrase,jobngram
808,analyz account option,phrase,jobngram
809,collecting information,phrase,jobngram
810,collect inform,phrase,jobngram
811,preparing balance sheet,phrase,jobngram
812,prepar balanc sheet,phrase,jobngram
813,auditing documents,phrase,jobngram
814,audit document,phrase,jobngram
815,accounting controls,phrase,jobngram
816,account control,phrase,jobngram
817,preparing and recommending policies,phrase,jobngram
818,prepar and recommend polici,phrase,jobngram
819,accounting clerical staff,phrase,jobngram
820,account cleric staff,phrase,jobngram
821,coordinating activities,phrase,jobngram
822,coordin activ,phrase,jobngram
823,answering questions,phrase,jobngram
824,answer question,phrase,jobngram
825,collecting and analyzing account information,phrase,jobngram
826,collect and analyz account inform,phrase,jobngram
827,following internal controls,phrase,jobngram
828,follow intern control,phrase,jobngram
829,verifying documentation,phrase,jobngram
830,verifi document,phrase,jobngram
831,requesting disbursements,phrase,jobngram
832,request disburs,phrase,jobngram
833,accounting procedure questions,phrase,jobngram
834,account procedur question,phrase,jobngram
835,researching and interpreting accounting policy,phrase,jobngram
836,research and interpret account polici,phrase,jobngram
837,enforcing adherence,phrase,jobngram
838,enforc adher,phrase,jobngram
839,advising management,phrase,jobngram
840,advis manag,phrase,jobngram
841,summarizing account information,phrase,jobngram
842,summar account inform,phrase,jobngram
843,maintains customer confidence,phrase,jobngram
844,maintain custom confid,phrase,jobngram
845,keeping financial information confidential,phrase,jobngram
846,keep financi inform confidenti,phrase,jobngram
847,attending educational workshops,phrase,jobngram
848,attend educ workshop,phrase,jobngram
849,reviewing professional publications,phrase,jobngram
850,review profession public,phrase,jobngram
851,establishing personal networks,phrase,jobngram
852,establish person network,phrase,jobngram
853,performing the duty,phrase,jobngram
854,perform the duti,phrase,jobngram
855,team effort,phrase,jobngram
856,accomplishing related results,phrase,jobngram
857,accomplish relat result,phrase,jobngram
858,corporate finance,phrase,jobngram
859,corpor financ,phrase,jobngram
860,research results,phrase,jobngram
861,research result,phrase,jobngram
862,sfas rules,phrase,jobngram
863,sfa rule,phrase,jobngram
864,time management,phrase,jobngram
865,time manag,phrase,jobngram
866,data entry management,phrase,jobngram
867,data entri manag,phrase,jobngram
868,accounting records,phrase,jobngram
869,account record,phrase,jobngram
870,making copies,phrase,jobngram
871,make copi,phrase,jobngram
872,filing documents,phrase,jobngram
873,file document,phrase,jobngram
874,reconciles bank statements,phrase,jobngram
875,reconcil bank statement,phrase,jobngram
876,comparing statements,phrase,jobngram
877,compar statement,phrase,jobngram
878,accounting databases,phrase,jobngram
879,account databas,phrase,jobngram
880,entering data,phrase,jobngram
881,enter data,phrase,jobngram
882,processing backups,phrase,jobngram
883,process backup,phrase,jobngram
884,performance analysis software,phrase,jobngram
885,perform analysi softwar,phrase,jobngram
886,depreciation software program,phrase,jobngram
887,depreci softwar program,phrase,jobngram
888,keeping information confidential,phrase,jobngram
